"covariate","mean_treated","mean_control","sd_treated","SMD","KS_D","KS_p","n_treated","n_control"
"dw_nom_dim1_baseline",0.13269696969697,0.125373737373737,0.429626544574506,0.0170455769451701,0.0707070707070707,0.99966673719009,33,99
"house_tenure_at_event",2.72727272727273,2.73737373737374,1.62543700417625,-0.00621433502194043,0.0202020202020202,1,33,99
"cohort",108.484848484848,108.474747474747,2.10833483051809,0.00479098953107378,0.0303030303030303,1,33,99
