model,coef,se,p,sig,aic,n_obs
"OLS M5 (Speaker FE + Word FE, cluster SE)",0.005997,0.002942,0.0415,**,-65981.76,15963
"LMM (Speaker random + Word FE, REML)",0.00523,0.001092,0.0,***,,15963
