bioguide_id,congress,rel_congress,Y_mean,n_obs
B000575,107,-4,0.7488041520118713,24
B000575,108,-3,0.7777999125677963,29
B000575,109,-2,0.7543265050963351,38
B000575,110,-1,0.7554170162070031,51
B000944,107,-2,0.7590458989143372,58
B000944,108,-1,0.7620018990072486,73
B001135,107,-1,0.7433759768803915,15
B001230,107,-4,0.7593527598814531,44
B001230,108,-3,0.7621362805366516,49
B001230,109,-2,0.7499479958505342,33
B001230,110,-1,0.7503957603035903,41
B001236,107,-4,0.7495866526256908,11
B001236,108,-3,0.743266624212265,10
B001236,109,-2,0.7338466819594888,17
B001236,110,-1,0.7529750757439192,43
C000141,107,-2,0.7604626313499783,46
C000141,108,-1,0.7595168936252594,50
C001047,107,-6,0.7577136938388531,26
C001047,108,-5,0.7587824082374572,25
C001047,109,-4,0.7695920006795363,44
C001047,110,-3,0.75472288436078,47
C001047,111,-2,0.7478852189249463,36
C001047,112,-1,0.7643026185035705,25
C001075,111,-2,0.7744785070419311,20
C001075,112,-1,0.7563481330871582,13
D000595,107,-1,0.7496793991640994,19
D000607,110,-1,0.7575772135488449,31
G000562,112,-1,0.7640708747662996,38
H001041,110,-1,0.7525238739816766,19
H001042,110,-1,0.7581608751986889,47
K000360,107,-3,0.7651094929227289,53
K000360,108,-2,0.7649139338069492,45
K000360,109,-1,0.749914869018223,46
L000575,112,-1,0.7663956425691906,38
M000133,107,-5,0.7472168542444706,32
M000133,108,-4,0.7487344133853913,50
M000133,109,-3,0.7549645968845913,70
M000133,110,-2,0.7460377653439839,60
M000133,111,-1,0.7505126784487468,41
M000639,107,-1,0.7583709423956664,46
M000934,107,-4,0.7611344206717706,31
M000934,108,-3,0.7666270810624828,23
M000934,109,-2,0.7495742082595825,25
M000934,110,-1,0.7610256154286233,38
M001169,110,-1,0.7758188576533877,58
P000595,111,-2,0.7537942881937381,27
P000595,112,-1,0.7520635317672383,22
T000461,107,-1,0.7522466030231741,43
U000038,107,-3,0.7584177192221296,47
U000038,108,-2,0.7645939956320092,47
U000038,109,-1,0.756006774870125,74
U000039,107,-3,0.7583249852342425,53
U000039,108,-2,0.7521833253317866,58
U000039,109,-1,0.7491817846894264,40
V000127,107,-1,0.735694612065951,12
W000437,107,-2,0.7634417093717135,26
W000437,108,-1,0.7652222058352303,17
