group,period,mean_Y,sd_Y,median_Y,n_obs,mean_Ybar,sd_Ybar,median_Ybar,n_speakers
control,post,0.7581717225905962,0.06867688484842858,0.7636312246322632,4555,0.7859782861703731,0.014990403797884022,0.7870147356526692,56
control,pre,0.7614457557091372,0.06584629063589184,0.7689247131347656,2839,0.7831999835252239,0.01513704132477287,0.7847097290296011,56
treatment,post,0.7603830208574288,0.06607732100865739,0.7658966183662415,6425,0.7917798822139755,0.007431851428944421,0.7910959448641116,25
treatment,pre,0.761831600413616,0.06513888194620157,0.7702407538890839,2144,0.7812211679944118,0.01166301335714342,0.7834748701507033,25
